Bang_Con;Cot_KhoaNgoai;Bang_Cha;Cot_KhoaChinh;CONSTRAINT_NAME
DNPLTXMAN;MA_HQ;DDSTKXFIFO;MA_HQX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQTX;DDSTKXFIFO;MA_HQX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_LHTX;DDSTKXFIFO;MA_HQX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;NAMDKTX;DDSTKXFIFO;MA_LHX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;SOTKTX;DDSTKXFIFO;MA_LHX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQ;DDSTKXFIFO;MA_HQ;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQTX;DDSTKXFIFO;MA_HQ;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_LHTX;DDSTKXFIFO;MA_HQ;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;NAMDKTX;DDSTKXFIFO;MA_HQX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;SOTKTX;DDSTKXFIFO;MA_HQX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKXFIFO;MA_HQX;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQTX;DDSTKXFIFO;MA_DV;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_LHTX;DDSTKXFIFO;MA_DV;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;NAMDKTX;DDSTKXFIFO;MA_HQ;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;SOTKTX;DDSTKXFIFO;MA_HQ;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKXFIFO;MA_HQ;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_DV;DDSTKXFIFO;MA_HQ;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_LHTX;DDSTKXFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;NAMDKTX;DDSTKXFIFO;MA_DV;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;SOTKTX;DDSTKXFIFO;MA_DV;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKXFIFO;MA_DV;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_DV;DDSTKXFIFO;MA_DV;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQ;DDSTKXFIFO;MA_DV;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;NAMDKTX;DDSTKXFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;SOTKTX;DDSTKXFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKXFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_DV;DDSTKXFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQ;DDSTKXFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;MA_HQTX;DDSTKXFIFO;LAN_TL;FK_DNPLTXMAN_DDSTKXFIFO
DNPLTXMAN;LAN_TL;DDSTKNFIFO;SOTK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_DV;DDSTKNFIFO;SOTK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_HQ;DDSTKNFIFO;SOTK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_LH;DDSTKNFIFO;SOTK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;NAMDK;DDSTKNFIFO;SOTK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;SOTK;DDSTKNFIFO;SOTK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;LAN_TL;DDSTKNFIFO;NAMDK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_DV;DDSTKNFIFO;NAMDK;FK_DNPLTXMAN_DDSTKNFIFO
DNPLTXMAN;MA_HQ;DDSTKNFIFO;NAMDK;FK_DNPLTXMAN_DDSTKNFIFO
